epoch,p1x,p1y,p1z,p2x,p2y,p2z
477,13.0,14.0,1.0,16.0,16.0,31.0
478,13.0,14.0,1.0,16.0,15.0,31.0
479,13.0,14.0,1.0,16.0,15.0,31.0
480,13.0,15.0,1.0,16.0,14.0,31.0
481,13.0,14.0,1.0,17.0,15.0,31.0
482,13.0,13.0,1.0,16.0,16.0,31.0
483,13.0,15.0,1.0,16.0,14.0,31.0
484,13.0,15.0,1.0,16.0,14.0,31.0
485,13.0,14.0,1.0,16.0,15.0,31.0
486,13.0,14.0,1.0,16.0,16.0,31.0
487,13.0,14.0,1.0,16.0,15.0,31.0
488,13.0,14.0,1.0,16.0,16.0,31.0
489,13.0,14.0,1.0,16.0,16.0,31.0
490,13.0,14.0,1.0,16.0,16.0,31.0
491,13.0,14.0,1.0,16.0,16.0,31.0
492,13.0,14.0,1.0,16.0,15.0,31.0
493,13.0,14.0,1.0,16.0,15.0,31.0
494,13.0,14.0,1.0,16.0,15.0,31.0
495,13.0,15.0,1.0,16.0,14.0,31.0
496,13.0,14.0,1.0,16.0,15.0,31.0
497,13.0,14.0,1.0,16.0,15.0,31.0
498,14.0,16.0,1.0,16.0,14.0,31.0
499,14.0,16.0,1.0,16.0,14.0,31.0
500,13.0,14.0,1.0,16.0,15.0,31.0
